Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.6361,0.9364
Precision,0.59740910392213,0.8872227151730258
Recall,0.8347,0.9999
F1,0.6963957950942766,0.940197461212976
AUC,0.5850503712499999,0.999669665
Specificity,0.4375,0.8729
Sensitivity,0.8347,0.9999
MCC,0.2966007265680179,0.8799250017544247
Kappa,0.2722,0.8728
Training_Time,1221.4431788921356,1444.1017806529999
Inference_Time,38.88227438926697,24.715940475463867
FPS,1028.7464050981948,809.1943747742272
