Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.6328,0.9506
Precision,0.5959953737169293,0.9102330662782229
Recall,0.8245,0.9998
F1,0.6918687589158345,0.9529165078154784
AUC,0.6107837675000001,0.9996138699999999
Specificity,0.4411,0.9014
Sensitivity,0.8245,0.9998
MCC,0.28757585841066463,0.9055949028462336
Kappa,0.26559999999999995,0.9012
Training_Time,1200.3565065860748,1447.6168775558472
Inference_Time,33.547218322753906,24.181867599487305
FPS,1192.3492319143909,827.0659789909706
