Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.643525,0.93675
Precision,0.6033855573563839,0.8877052818464269
Recall,0.83765,1.0
F1,0.7014759761331519,0.9405125793557488
AUC,0.64257059375,0.99979869
Specificity,0.4494,0.8735
Sensitivity,0.83765,1.0
MCC,0.3114847014101766,0.8805739967162636
Kappa,0.28705,0.8734999999999999
Training_Time,1217.4506833553314,1441.322197675705
Inference_Time,33.62280058860779,25.352883338928223
FPS,1189.668894314323,788.8649086824335
