Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.678575,0.9262
Precision,0.6195881466599699,0.8716428322288106
Recall,0.9252,0.9996
F1,0.7421638423744109,0.9312465064281722
AUC,0.6014334425,0.9989156499999999
Specificity,0.43195,0.8528
Sensitivity,0.9252,0.9996
MCC,0.4105702849374743,0.8617358790548535
Kappa,0.35714999999999997,0.8524
Training_Time,1179.8186240196228,1402.5628070831299
Inference_Time,27.901753187179565,24.073914527893066
FPS,1433.6016712519483,830.7747365650545
