Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.6748,0.9826
Precision,0.6180522725737827,0.9668214354807506
Recall,0.91515,0.9995
F1,0.7378159390494619,0.9828891729766939
AUC,0.6137103375,0.9997785050000001
Specificity,0.43445,0.9657
Sensitivity,0.91515,0.9995
MCC,0.3986839243388977,0.9657518144001713
Kappa,0.3496,0.9652000000000001
Training_Time,1184.154329776764,1430.1181621551514
Inference_Time,31.892199516296387,22.97048854827881
FPS,1254.2251900675794,870.682395716769
