Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.614425,0.9385
Precision,0.5890155198568595,0.8906110814181365
Recall,0.75715,0.9998
F1,0.6625828611433197,0.9420522001319137
AUC,0.63450041,0.999524325
Specificity,0.4717,0.8772
Sensitivity,0.75715,0.9998
MCC,0.23878498289192762,0.8836662320028912
Kappa,0.22885,0.877
Training_Time,1138.8021824359894,1354.8575866222382
Inference_Time,27.727428913116455,21.094945192337036
FPS,1442.6148246683633,948.0944281981455
