Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.65545,0.94235
Precision,0.6089730108657554,0.8967620414386941
Recall,0.8687,0.9998
F1,0.716010715021636,0.9454820558891673
AUC,0.63401126875,0.9997712950000001
Specificity,0.4422,0.8849
Sensitivity,0.8687,0.9998
MCC,0.34373054205073866,0.8905983766244355
Kappa,0.31089999999999995,0.8847
Training_Time,1198.2015261650085,1435.1734914779663
Inference_Time,33.32808303833008,24.663337230682373
FPS,1200.1890403956525,810.9202665046903
