Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.634175,0.95305
Precision,0.5962621515945045,0.9143876337693222
Recall,0.8311,0.9997
F1,0.6943626375921632,0.9551425978120671
AUC,0.588917275,0.9996315400000001
Specificity,0.43725,0.9064
Sensitivity,0.8311,0.9997
MCC,0.2919466694599282,0.910069686057335
Kappa,0.26835,0.9061
Training_Time,1198.1080389022827,1421.7161045074463
Inference_Time,32.14684343338013,23.441816091537476
FPS,1244.2901301614402,853.1762181693774
