Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.6715,0.9732
Precision,0.623434576076004,0.9498098859315589
Recall,0.8662,0.9992
F1,0.7250355737842136,0.9738791423001949
AUC,0.6724867825,0.9996380500000001
Specificity,0.4768,0.9472
Sensitivity,0.8662,0.9992
MCC,0.37239348360272356,0.9476821335535442
Kappa,0.34299999999999997,0.9464
Training_Time,1148.3783631324768,1421.0993223190308
Inference_Time,27.742738485336304,24.106934070587158
FPS,1441.8187310939902,829.6368149279496
