Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.683875,0.90905
Precision,0.6257136020237241,0.8467994913098771
Recall,0.9152,0.9988
F1,0.743264369683065,0.9165404909382886
AUC,0.66632692625,0.9984822250000001
Specificity,0.45255,0.8193
Sensitivity,0.9152,0.9988
MCC,0.41481442180560185,0.8316069828323082
Kappa,0.36775,0.8181
Training_Time,1188.0453293323517,1406.252940416336
Inference_Time,35.972540855407715,26.394174098968506
FPS,1111.959262504718,757.7429748325259
