Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.6239,0.9365
Precision,0.5901615485373308,0.8875177556818182
Recall,0.811,0.9997
F1,0.6831774913655126,0.9402746425884123
AUC,0.60242158625,0.99953826
Specificity,0.4368,0.8733
Sensitivity,0.811,0.9997
MCC,0.26721359537466266,0.8800586382475791
Kappa,0.24780000000000002,0.873
Training_Time,1205.5947949886322,1446.6084740161896
Inference_Time,33.861809730529785,24.22970986366272
FPS,1181.2717724869863,825.4329132514289
